Node,Thread,Generations,Rows,Columns,Invasions,Cycles,Instructions,Instructions per Cycle,L1-dcache-load-misses,% of all L1-dcache accesses,L1-dcache-loads,Seconds Time Elapsed
soctf-pdc-007,1,50000,50,60,200,114,205,2.06,546,0.08,907,6.303771211
soctf-pdc-007,4,50000,50,60,200,576,133,1.8,693,0.28,847,2.028691797
soctf-pdc-007,8,50000,50,60,200,505,32,1.49,815,0.36,116,1.304273687
soctf-pdc-007,16,50000,50,60,200,612,133,0.72,835,0.51,594,1.466997876
soctf-pdc-007,32,50000,50,60,200,44,94,0.47,64,3.97,689,6.689093217
soctf-pdc-007,64,50000,50,60,200,554,934,0.37,235,6.29,971,10.40533868
soctf-pdc-007,1,60000,50,60,200,442,396,2.07,530,0.08,146,7.426796043
soctf-pdc-007,4,60000,50,60,200,500,241,1.81,212,0.26,206,2.421780638
soctf-pdc-007,8,60000,50,60,200,626,528,1.5,729,0.36,5,1.548723137
soctf-pdc-007,16,60000,50,60,200,207,741,0.75,233,0.46,920,1.694457737
soctf-pdc-007,32,60000,50,60,200,752,752,0.47,74,3.98,829,8.23247433
soctf-pdc-007,64,60000,50,60,200,785,613,0.37,863,6.29,544,12.459343936
soctf-pdc-007,1,70000,50,60,200,409,363,2.07,963,0.08,412,8.683903044
soctf-pdc-007,4,70000,50,60,200,467,226,1.84,281,0.27,194,2.763947836
soctf-pdc-007,8,70000,50,60,200,873,295,1.46,918,0.36,748,1.880611449
soctf-pdc-007,16,70000,50,60,200,884,431,0.72,187,0.49,507,2.020954582
soctf-pdc-007,32,70000,50,60,200,78,425,0.47,69,4.03,845,10.08541011
soctf-pdc-007,64,70000,50,60,200,300,449,0.37,398,6.3,232,14.668691672
soctf-pdc-007,1,80000,50,60,200,912,968,2.06,33,0.08,768,9.937931111
soctf-pdc-007,4,80000,50,60,200,196,605,1.84,255,0.26,870,3.132707433
soctf-pdc-007,8,80000,50,60,200,670,803,1.52,825,0.34,669,2.01352026
soctf-pdc-007,16,80000,50,60,200,383,519,0.71,869,0.5,496,2.357467906
soctf-pdc-007,32,80000,50,60,200,265,27,0.48,747,3.91,862,10.590110477
soctf-pdc-007,64,80000,50,60,200,95,225,0.37,966,6.27,82,16.634832063
soctf-pdc-007,1,90000,50,60,200,625,783,2.06,113,0.08,365,11.13933319
soctf-pdc-007,4,90000,50,60,200,971,689,1.8,398,0.27,301,3.638082073
soctf-pdc-007,8,90000,50,60,200,690,780,1.5,182,0.36,147,2.278534839
soctf-pdc-007,16,90000,50,60,200,818,353,0.71,755,0.51,330,2.608241817
soctf-pdc-007,32,90000,50,60,200,957,117,0.47,22,3.95,234,12.628920002
soctf-pdc-007,64,90000,50,60,200,134,586,0.37,930,6.27,17,18.694881136
soctf-pdc-007,1,100000,50,60,200,715,28,2.07,451,0.08,608,12.307574259
soctf-pdc-007,4,100000,50,60,200,130,853,1.84,218,0.27,176,3.898090244
soctf-pdc-007,8,100000,50,60,200,406,69,1.49,575,0.36,723,2.53586867
soctf-pdc-007,16,100000,50,60,200,488,384,0.72,180,0.47,420,2.876730839
soctf-pdc-007,32,100000,50,60,200,269,979,0.47,478,3.98,634,13.261409592
soctf-pdc-007,64,100000,50,60,200,646,544,0.37,765,6.26,704,20.571595878
